theta_t,theta_l,eta
0.0,0.0,0.9470281488853756
0.0,5.0,0.9195300393790888
0.0,10.0,0.8846057740609864
0.0,15.0,0.8425217397013112
0.0,20.0,0.793576606308557
0.0,25.0,0.7381032369357294
0.0,30.0,0.6764723154818456
0.0,35.0,0.6091015016912796
0.0,40.0,0.5364757828793476
0.0,45.0,0.4591912422189237
0.0,50.0,0.3780464832122056
0.0,55.0,0.2942288310353426
0.0,60.0,0.20966823990278916
0.0,65.0,0.1275314505085241
0.0,70.0,0.05267416755683107
0.0,75.0,0.00494422180625164
0.0,80.0,0.0
0.0,85.0,0.0
0.0,90.0,0.0
5.0,0.0,0.9221823493963366
5.0,5.0,0.8959289876128078
5.0,10.0,0.8624979070217632
5.0,15.0,0.8221333303069355
5.0,20.0,0.7751078171040936
5.0,25.0,0.7217246885241073
5.0,30.0,0.6623223069445848
5.0,35.0,0.597283528206478
5.0,40.0,0.5270558281244109
5.0,45.0,0.4521937295227028
5.0,50.0,0.37344650133784246
5.0,55.0,0.2919363140854811
5.0,60.0,0.2094985542640556
5.0,65.0,0.1289103383904379
5.0,70.0,0.05366655158269509
5.0,75.0,0.005211139924512863
5.0,80.0,0.0
5.0,85.0,0.0
5.0,90.0,0.0
10.0,0.0,0.9276880714706025
10.0,5.0,0.901491323342645
10.0,10.0,0.8682322263605159
10.0,15.0,0.8281285550979686
10.0,20.0,0.7814193736670653
10.0,25.0,0.7283692608484081
10.0,30.0,0.6692744470003217
10.0,35.0,0.6044736718123861
10.0,40.0,0.5343687707896766
10.0,45.0,0.4594656218645164
10.0,50.0,0.38045754710589497
10.0,55.0,0.2983966150015483
10.0,60.0,0.21503132679270479
10.0,65.0,0.13308000888282256
10.0,70.0,0.0567126765767381
10.0,75.0,0.006073530620423611
10.0,80.0,0.0
10.0,85.0,0.0
10.0,90.0,0.0
15.0,0.0,0.9253797969390335
15.0,5.0,0.8997658251923065
15.0,10.0,0.8673594711884175
15.0,15.0,0.8283325644445495
15.0,20.0,0.782866261079844
