theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.13167378796018983
-85.0,5.0,0.13165607735085957
-85.0,10.0,0.1315026556646591
-85.0,15.0,0.13131602409377116
-85.0,20.0,0.13109232786369185
-85.0,25.0,0.1308486496021269
-85.0,30.0,0.13060182499890696
-85.0,35.0,0.1303151887746911
-85.0,40.0,0.12993958657356222
-85.0,45.0,0.12948374801040308
-85.0,50.0,0.12892776966317618
-85.0,55.0,0.12818252634350227
-85.0,60.0,0.12720864273526777
-85.0,65.0,0.12569927919534696
-85.0,70.0,0.12324219608103007
-85.0,75.0,0.118575125752584
-85.0,80.0,0.1082419767870643
-85.0,85.0,0.07626649597760861
-85.0,90.0,0.0
-80.0,0.0,0.24681494179408725
-80.0,5.0,0.24626398205305725
-80.0,10.0,0.24527679302567468
-80.0,15.0,0.2442879494540903
-80.0,20.0,0.24311273748217202
-80.0,25.0,0.24170010269699577
-80.0,30.0,0.2401420770396988
-80.0,35.0,0.2382651980298339
-80.0,40.0,0.2360074952344209
-80.0,45.0,0.2335876597470715
-80.0,50.0,0.2302482281412671
-80.0,55.0,0.22597737441278917
-80.0,60.0,0.2200931549721209
-80.0,65.0,0.21113379529668547
-80.0,70.0,0.19742995796131585
-80.0,75.0,0.17433165101070375
-80.0,80.0,0.13172200230274078
-80.0,85.0,0.05331735510447068
-80.0,90.0,0.0
-75.0,0.0,0.3608554796460105
-75.0,5.0,0.35902937110894173
-75.0,10.0,0.3566750796152432
-75.0,15.0,0.3542223525777729
-75.0,20.0,0.35133890618519853
