theta_t,theta_l,eta
-90.0,0.0,0.0
-90.0,5.0,0.0
-90.0,10.0,0.0
-90.0,15.0,0.0
-90.0,20.0,0.0
-90.0,25.0,0.0
-90.0,30.0,0.0
-90.0,35.0,0.0
-90.0,40.0,0.0
-90.0,45.0,0.0
-90.0,50.0,0.0
-90.0,55.0,0.0
-90.0,60.0,0.0
-90.0,65.0,0.0
-90.0,70.0,0.0
-90.0,75.0,0.0
-90.0,80.0,0.0
-90.0,85.0,0.0
-90.0,90.0,0.0
-85.0,0.0,0.1566033700359329
-85.0,5.0,0.15660605006898287
-85.0,10.0,0.1565994562183192
-85.0,15.0,0.15658282996089343
-85.0,20.0,0.1565547115009232
-85.0,25.0,0.15651271713828044
-85.0,30.0,0.1564531536413686
-85.0,35.0,0.15637034271623948
-85.0,40.0,0.15625544328936275
-85.0,45.0,0.15609430692956666
-85.0,50.0,0.15586337512867318
-85.0,55.0,0.15552131206618325
-85.0,60.0,0.15499051602008687
-85.0,65.0,0.15411189934981137
-85.0,70.0,0.15251871322323157
-85.0,75.0,0.1492167261881064
-85.0,80.0,0.14081008378852325
-85.0,85.0,0.11161561881351686
-85.0,90.0,0.0
-80.0,0.0,0.24467984619838037
-80.0,5.0,0.2443643255889337
-80.0,10.0,0.24398642605840978
-80.0,15.0,0.24353639459112092
-80.0,20.0,0.24299967101430933
-80.0,25.0,0.24235521479387828
-80.0,30.0,0.24157275043677798
-80.0,35.0,0.24060823130959413
-80.0,40.0,0.23939620776792453
-80.0,45.0,0.23783654675865915
-80.0,50.0,0.23577030918189418
-80.0,55.0,0.23293362406088347
-80.0,60.0,0.22886404406517638
-80.0,65.0,0.22269704019862094
-80.0,70.0,0.2126905659567358
-80.0,75.0,0.19504629267436233
-80.0,80.0,0.16106362682047123
-80.0,85.0,0.0932028223263016
-80.0,90.0,0.0
-75.0,0.0,0.33389208076456495
-75.0,5.0,0.33308327564111917
-75.0,10.0,0.33208842133400474
-75.0,15.0,0.3308817144555483
-75.0,20.0,0.32942399755624957
