time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure,sun zenith,sun azimuth
2006-01-01 00:00:00+00:00,16.61,45.68,0.0,-0.0,0.0,308.89,3.63,69.0,100272.0,150.64925496282072,94.52894633626511
2006-01-01 01:00:00+00:00,17.02,47.04,0.0,-0.0,0.0,312.66,3.57,61.0,100265.0,137.05333120525842,98.53487476148223
2006-01-01 02:00:00+00:00,17.44,48.39,0.0,-0.0,0.0,316.43,3.51,53.0,100259.0,123.59796859917492,102.5480361338216
2006-01-01 03:00:00+00:00,17.85,49.75,0.0,-0.0,0.0,320.2,3.45,53.0,100292.0,110.35998609837856,106.91706005311687
2006-01-01 04:00:00+00:00,18.27,51.1,0.0,-0.0,0.0,323.96,3.39,54.0,100325.0,97.44891947189019,111.9343572033585
2006-01-01 05:00:00+00:00,18.68,52.45,55.0,68.44,47.0,327.73,3.32,54.0,100358.0,85.03195009967504,117.9582101316139
2006-01-01 06:00:00+00:00,19.1,53.81,286.65,603.86,97.75,331.5,3.26,62.0,100325.0,73.37636508183876,125.48612484885899
2006-01-01 07:00:00+00:00,19.51,55.16,423.0,459.55,204.0,335.27,3.2,69.0,100292.0,62.92080031148642,135.20541964200675
2006-01-01 08:00:00+00:00,26.5,30.5,635.35,823.71,143.65,342.05,3.89,76.0,100259.0,54.373879964812204,147.91971913752724
2006-01-01 09:00:00+00:00,27.88,28.34,710.0,808.1,172.0,347.88,3.81,85.0,100150.0,48.758876736569256,164.04782446838954
2006-01-01 10:00:00+00:00,29.25,26.18,733.0,843.24,161.0,353.72,3.73,94.0,100041.0,47.14067043473541,182.53882478252405
2006-01-01 11:00:00+00:00,30.63,24.02,681.0,839.37,149.0,359.55,3.66,103.0,99933.0,49.91091839626205,200.61815365321485
2006-01-01 12:00:00+00:00,30.29,25.71,548.0,745.5,149.0,359.63,3.32,99.0,99923.0,56.42508608080095,215.85338735317066
2006-01-01 13:00:00+00:00,29.96,27.39,398.0,806.65,84.0,359.72,2.98,95.0,99913.0,65.57248275163461,227.69423539983492
2006-01-01 14:00:00+00:00,29.63,29.08,96.0,48.56,86.0,359.8,2.65,91.0,99903.0,76.40702562627703,236.7514138409133
2006-01-01 15:00:00+00:00,28.0,32.42,0.0,-0.0,0.0,358.83,3.03,78.0,99929.0,88.30210856705705,243.82167031920613
2006-01-01 16:00:00+00:00,26.37,35.77,0.0,-0.0,0.0,357.87,3.41,64.0,99956.0,100.87395504851142,249.54068944390866
2006-01-01 17:00:00+00:00,24.73,39.11,0.0,-0.0,0.0,356.9,3.79,51.0,99982.0,113.88770928928086,254.36348863027013
2006-01-01 18:00:00+00:00,23.9,42.81,0.0,-0.0,0.0,356.67,3.98,56.0,99989.0,127.19485636411736,258.6255970952203
2006-01-01 19:00:00+00:00,23.06,46.51,0.0,-0.0,0.0,356.43,4.17,62.0,99995.0,140.69650526130138,262.62433068876726
2006-01-01 20:00:00+00:00,22.22,50.21,0.0,-0.0,0.0,356.2,4.36,67.0,100002.0,154.3211739507621,266.79245646605426
2006-01-01 21:00:00+00:00,21.47,55.32,0.0,-0.0,0.0,356.4,4.16,69.0,99999.0,168.00152187470715,272.8192606516255
2006-01-01 22:00:00+00:00,20.73,60.44,0.0,-0.0,0.0,356.6,3.96,71.0,99995.0,177.86774133243242,57.9357595048329
2006-01-01 23:00:00+00:00,19.98,65.55,0.0,-0.0,0.0,356.8,3.77,74.0,99992.0,164.41983707475498,89.21324612925326
2006-01-02 00:00:00+00:00,18.77,67.13,0.0,-0.0,0.0,350.53,3.43,67.0,100005.0,150.74428656905792,94.32675401680206
2006-01-02 01:00:00+00:00,17.55,68.71,0.0,-0.0,0.0,344.27,3.09,61.0,100018.0,137.14365733162714,98.3828659714552
2006-01-02 02:00:00+00:00,16.34,70.29,0.0,-0.0,0.0,338.0,2.74,54.0,100032.0,123.68213810434277,102.41741963744528
2006-01-02 03:00:00+00:00,16.83,69.58,0.0,-0.0,0.0,336.77,2.59,53.0,100061.0,110.4364519342312,106.79492174457192
2006-01-02 04:00:00+00:00,17.33,68.87,0.0,-0.0,0.0,335.53,2.44,53.0,100091.0,97.5156503022329,111.81272809950588
2006-01-02 05:00:00+00:00,17.82,68.16,62.0,120.61,48.0,334.3,2.29,52.0,100120.0,85.0860718490173,117.83081153114591
2006-01-02 06:00:00+00:00,20.46,61.3,279.15,580.48,97.85,342.72,2.41,57.0,100097.0,73.4137008637492,125.34733825840243
2006-01-02 07:00:00+00:00,23.1,54.45,472.0,677.93,149.0,351.13,2.54,61.0,100074.0,62.93537324772777,135.05096971609805
2006-01-02 08:00:00+00:00,25.74,47.59,626.05,788.68,155.0,359.55,2.66,65.0,100051.0,54.35797382396127,147.75049358241256
2006-01-02 09:00:00+00:00,27.05,43.06,727.0,871.67,146.0,364.93,2.46,50.0,99959.0,48.705444733342304,163.8776605184861
2006-01-02 10:00:00+00:00,28.36,38.52,685.0,663.67,234.0,370.32,2.25,36.0,99867.0,47.04939013948639,182.39612613700612
2006-01-02 11:00:00+00:00,29.68,33.99,518.0,311.61,320.0,375.7,2.04,21.0,99775.0,49.79160253666051,200.52504617066197
2006-01-02 12:00:00+00:00,29.47,34.39,566.0,821.02,125.0,372.45,2.55,16.0,99788.0,56.29113138535189,215.80842252336623
2006-01-02 13:00:00+00:00,29.26,34.8,345.0,482.86,156.0,369.2,3.06,11.0,99801.0,65.433548513701,227.6840216406334
2006-01-02 14:00:00+00:00,29.06,35.2,168.0,441.92,76.0,365.95,3.57,6.0,99814.0,76.2681845333084,236.76427919773772
2006-01-02 15:00:00+00:00,27.71,37.57,0.0,-0.0,0.0,365.85,3.83,6.0,99864.0,88.1656428341746,243.85091362684705
2006-01-02 16:00:00+00:00,26.36,39.94,0.0,-0.0,0.0,365.75,4.1,6.0,99913.0,100.74079189684855,249.5837506630433
2006-01-02 17:00:00+00:00,25.01,42.31,0.0,-0.0,0.0,365.65,4.36,6.0,99962.0,113.75816300849523,254.42116290576035
2006-01-02 18:00:00+00:00,24.04,44.17,0.0,-0.0,0.0,364.17,4.28,12.0,99972.0,127.06895085487366,258.70249238826807
2006-01-02 19:00:00+00:00,23.07,46.03,0.0,-0.0,0.0,362.68,4.2,17.0,99982.0,140.5740555873659,262.73197461219866
2006-01-02 20:00:00+00:00,22.1,47.89,0.0,-0.0,0.0,361.2,4.12,22.0,99992.0,154.20157599236296,266.9616178011189
2006-01-02 21:00:00+00:00,21.21,51.92,0.0,-0.0,0.0,357.65,3.91,26.0,99982.0,167.88197896339295,273.1728074799943
2006-01-02 22:00:00+00:00,20.32,55.96,0.0,-0.0,0.0,354.1,3.69,31.0,99972.0,177.90482620184548,54.25567541768794
2006-01-02 23:00:00+00:00,19.42,59.99,0.0,-0.0,0.0,350.55,3.48,35.0,99962.0,164.51419604633895,88.82279148697035
2006-01-03 00:00:00+00:00,18.52,65.68,0.0,-0.0,0.0,347.55,3.29,38.0,99959.0,150.83666353832973,94.10845408620696
2006-01-03 01:00:00+00:00,17.62,71.37,0.0,-0.0,0.0,344.55,3.1,41.0,99956.0,137.23111303794798,98.21980679443317
