time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure,sun zenith,sun azimuth
2012-01-01 00:00:00+00:00,8.37,99.09,0.0,-0.0,0.0,292.23,2.07,11.0,100486.0,162.84510771445912,331.60665669511445
2012-01-01 01:00:00+00:00,7.82,99.42,0.0,-0.0,0.0,284.57,1.95,17.0,100450.0,163.671341919104,20.78842647095314
2012-01-01 02:00:00+00:00,7.28,99.76,0.0,-0.0,0.0,276.9,1.83,23.0,100415.0,156.2158442954546,55.67060057810096
2012-01-01 03:00:00+00:00,6.74,100.0,0.0,-0.0,0.0,269.24,1.7,30.0,100405.0,145.56438768181658,74.02128316572833
2012-01-01 04:00:00+00:00,6.19,100.0,0.0,-0.0,0.0,261.58,1.58,38.0,100395.0,134.01787735808142,85.81991802913774
2012-01-01 05:00:00+00:00,5.65,100.0,0.0,-0.0,0.0,253.92,1.45,46.0,100385.0,122.29463496381555,95.10887370658162
2012-01-01 06:00:00+00:00,5.11,100.0,0.0,-0.0,0.0,246.25,1.33,61.0,100408.0,110.72402279673521,103.52344812333104
2012-01-01 07:00:00+00:00,4.56,100.0,0.0,-0.0,0.0,238.59,1.21,76.0,100431.0,99.55225332928237,111.91953408589762
2012-01-01 08:00:00+00:00,7.05,100.0,16.0,43.64,14.0,253.25,0.62,92.0,100454.0,89.04362365477253,120.89146027813223
2012-01-01 09:00:00+00:00,9.14,94.49,96.0,48.37,86.0,262.88,1.17,37.0,100447.0,79.53643018161942,130.94686251098983
2012-01-01 10:00:00+00:00,11.22,88.97,155.0,29.68,145.0,272.52,1.71,342.0,100441.0,71.48342212135682,142.52654070129972
2012-01-01 11:00:00+00:00,13.31,83.46,195.0,23.38,185.0,282.15,2.26,287.0,100434.0,65.45947262380164,155.87972987811418
2012-01-01 12:00:00+00:00,13.52,79.97,248.0,50.78,224.0,294.37,2.7,285.0,100382.0,62.08085473898023,170.80151112906822
2012-01-01 13:00:00+00:00,13.72,76.47,248.0,53.33,223.0,306.58,3.14,283.0,100330.0,61.794108002991074,186.4418358414923
2012-01-01 14:00:00+00:00,13.93,72.98,184.0,19.21,176.0,318.8,3.57,280.0,100278.0,64.64124838243877,201.57392263384222
2012-01-01 15:00:00+00:00,13.07,77.83,129.0,15.67,124.0,321.72,2.97,278.0,100307.0,70.23419686386399,215.24321655436373
2012-01-01 16:00:00+00:00,12.22,82.69,88.0,65.4,76.0,324.63,2.36,275.0,100337.0,77.96823027902595,227.13463884820675
2012-01-01 17:00:00+00:00,11.36,87.54,0.0,0.0,0.0,327.55,1.75,272.0,100366.0,87.25137711621485,237.4379747173952
2012-01-01 18:00:00+00:00,11.09,89.84,0.0,-0.0,0.0,328.02,1.88,266.0,100405.0,97.60776575220328,246.57389347767344
2012-01-01 19:00:00+00:00,10.82,92.13,0.0,-0.0,0.0,328.48,2.01,261.0,100444.0,108.680835917876,255.04121696699804
2012-01-01 20:00:00+00:00,10.55,94.43,0.0,-0.0,0.0,328.95,2.14,255.0,100483.0,120.19620891627137,263.4126555207193
2012-01-01 21:00:00+00:00,10.85,94.73,0.0,-0.0,0.0,327.58,2.23,251.0,100470.0,131.90887865266586,272.4765785411886
2012-01-01 22:00:00+00:00,11.14,95.03,0.0,-0.0,0.0,326.22,2.31,247.0,100457.0,143.515030244192,283.66391548457455
2012-01-01 23:00:00+00:00,11.43,95.33,0.0,-0.0,0.0,324.85,2.4,243.0,100444.0,154.4073899676571,300.3690675418458
2012-01-02 00:00:00+00:00,11.35,96.65,0.0,-0.0,0.0,325.45,2.55,243.0,100454.0,162.7277763420917,331.37997456883056
2012-01-02 01:00:00+00:00,11.27,97.96,0.0,-0.0,0.0,326.05,2.7,243.0,100463.0,163.62719383659515,20.334105843523957
2012-01-02 02:00:00+00:00,11.19,99.28,0.0,-0.0,0.0,326.65,2.86,243.0,100473.0,156.2345782360642,55.33783593804975
2012-01-02 03:00:00+00:00,10.95,99.52,0.0,-0.0,0.0,325.97,2.64,255.0,100480.0,145.60656205300685,73.79325060471939
2012-01-02 04:00:00+00:00,10.7,99.76,0.0,-0.0,0.0,325.28,2.42,268.0,100486.0,134.0669741162562,85.6438452105615
2012-01-02 05:00:00+00:00,10.46,100.0,0.0,-0.0,0.0,324.6,2.21,280.0,100493.0,122.34329540823782,94.95871559320199
2012-01-02 06:00:00+00:00,10.69,99.96,0.0,-0.0,0.0,324.72,2.2,290.0,100568.0,110.76777437996725,103.3856834937389
2012-01-02 07:00:00+00:00,10.92,99.93,0.0,-0.0,0.0,324.83,2.19,300.0,100642.0,99.58741519265092,111.78608254563159
2012-01-02 08:00:00+00:00,11.15,99.89,18.0,87.76,14.0,324.95,2.18,309.0,100717.0,89.06643975347268,120.75700035271223
2012-01-02 09:00:00+00:00,11.76,92.66,145.0,275.66,88.0,326.78,2.74,315.0,100766.0,79.54267331680116,130.80818336593472
2012-01-02 10:00:00+00:00,12.38,85.43,141.0,14.82,136.0,328.62,3.31,320.0,100815.0,71.46843097710172,142.3832719970971
2012-01-02 11:00:00+00:00,12.99,78.2,379.0,499.5,165.0,330.45,3.88,325.0,100863.0,65.41894359014823,155.73604553073108
2012-01-02 12:00:00+00:00,13.51,72.76,436.0,561.44,170.0,323.0,3.96,324.0,100815.0,62.01263630828077,170.66704018041946
2012-01-02 13:00:00+00:00,14.04,67.32,178.0,4.25,176.0,315.55,4.05,323.0,100766.0,61.700096434392464,186.32849890004965
2012-01-02 14:00:00+00:00,14.56,61.88,329.0,329.92,191.0,308.1,4.14,322.0,100717.0,64.52723126876141,201.48925983807118
2012-01-02 15:00:00+00:00,13.33,66.93,299.0,656.88,88.0,301.02,3.57,327.0,100776.0,70.10727262557349,215.18716804564895
2012-01-02 16:00:00+00:00,12.09,71.99,159.0,603.01,47.0,293.93,3.0,332.0,100834.0,77.83430892888427,227.1023430781044
2012-01-02 17:00:00+00:00,10.86,77.04,0.0,0.0,0.0,286.85,2.43,337.0,100893.0,87.11436435107136,237.42374000252366
2012-01-02 18:00:00+00:00,9.86,82.81,0.0,-0.0,0.0,279.8,2.55,346.0,100928.0,97.46986462914515,246.57314757098322
2012-01-02 19:00:00+00:00,8.86,88.57,0.0,-0.0,0.0,272.75,2.67,356.0,100964.0,108.5430747630358,255.05076632078013
2012-01-02 20:00:00+00:00,7.86,94.34,0.0,-0.0,0.0,265.7,2.79,6.0,101000.0,120.05882314957702,263.4301181696404
2012-01-02 21:00:00+00:00,7.23,96.23,0.0,-0.0,0.0,262.48,2.73,19.0,101006.0,131.7715125995009,272.49890412849027
2012-01-02 22:00:00+00:00,6.6,98.11,0.0,-0.0,0.0,259.27,2.67,33.0,101013.0,143.37694589111305,283.6824689371249
2012-01-02 23:00:00+00:00,5.97,100.0,0.0,-0.0,0.0,256.05,2.61,46.0,101019.0,154.2690139036907,300.34778002443613
2012-01-03 00:00:00+00:00,5.48,100.0,0.0,-0.0,0.0,254.42,2.57,48.0,100980.0,162.60379920812449,331.17020032326207
2012-01-03 01:00:00+00:00,4.98,100.0,0.0,-0.0,0.0,252.78,2.54,50.0,100941.0,163.57451683203328,19.8784963255531
2012-01-03 02:00:00+00:00,4.49,100.0,0.0,-0.0,0.0,251.15,2.51,52.0,100902.0,156.2463578072439,54.99368394378968
2012-01-03 03:00:00+00:00,4.2,100.0,0.0,-0.0,0.0,248.77,2.47,52.0,100893.0,145.6429708353994,73.55507595047567
2012-01-03 04:00:00+00:00,3.91,100.0,0.0,-0.0,0.0,246.38,2.44,52.0,100883.0,134.11077818267083,85.4594825024077
2012-01-03 05:00:00+00:00,3.62,100.0,0.0,-0.0,0.0,244.0,2.4,52.0,100873.0,122.38674933201091,94.80160397274881
2012-01-03 06:00:00+00:00,4.13,100.0,0.0,-0.0,0.0,243.15,2.17,50.0,100902.0,110.80618250862528,103.24190428762756
2012-01-03 07:00:00+00:00,4.63,100.0,0.0,-0.0,0.0,242.3,1.94,48.0,100932.0,99.61694854886402,111.64732863965554
2012-01-03 08:00:00+00:00,5.14,100.0,21.0,154.05,14.0,241.45,1.71,46.0,100961.0,89.08323540820517,120.61786912454437
2012-01-03 09:00:00+00:00,7.62,91.23,181.0,613.72,54.0,248.55,2.05,37.0,100958.0,79.5424344876125,130.66552849475153
2012-01-03 10:00:00+00:00,10.1,82.46,330.0,751.77,76.0,255.65,2.38,28.0,100954.0,71.44648468336283,142.23695352508332
2012-01-03 11:00:00+00:00,12.58,73.69,437.0,815.24,87.0,262.75,2.72,19.0,100951.0,65.3710758368827,155.59062976733117
2012-01-03 12:00:00+00:00,12.98,69.05,497.0,869.38,84.0,266.03,2.78,17.0,100889.0,61.93692963915909,170.53259216969445
2012-01-03 13:00:00+00:00,13.37,64.42,487.0,836.95,92.0,269.32,2.84,16.0,100828.0,61.59880530646736,186.21714829486248
2012-01-03 14:00:00+00:00,13.77,59.78,427.0,820.99,82.0,272.6,2.9,14.0,100766.0,64.40650069514712,201.408328733596
2012-01-03 15:00:00+00:00,12.29,67.09,312.0,748.29,70.0,271.73,2.87,13.0,100779.0,69.97441805341069,215.1360957202475
2012-01-03 16:00:00+00:00,10.82,74.4,159.0,574.22,51.0,270.87,2.84,13.0,100792.0,77.69528417730712,227.0757986627091
2012-01-03 17:00:00+00:00,9.34,81.71,0.0,0.0,0.0,270.0,2.81,12.0,100805.0,86.9730013264317,237.41576160255659
2012-01-03 18:00:00+00:00,8.41,87.13,0.0,-0.0,0.0,266.02,2.82,16.0,100844.0,97.32823680381159,246.57909739106552
2012-01-03 19:00:00+00:00,7.49,92.54,0.0,-0.0,0.0,262.03,2.82,19.0,100883.0,108.40205652617036,255.06755330801556
2012-01-03 20:00:00+00:00,6.56,97.96,0.0,-0.0,0.0,258.05,2.83,23.0,100922.0,119.91847281562451,263.45562336425064
